RMSE,label,Model
2494.256642635641,Test,TF-Relu-hl-2-do-False-ep-800
3264.1213916522943,Test,TF-Relu-hl-2-do-True-ep-800
4423.630872967346,Test,TF-Relu-hl-1-do-False-ep-800
4497.313610096482,Test,TF-Relu-hl-1-do-True-ep-800
12605.367545007262,Test,TF-Tanh-hl-1-do-False-ep-800
12611.298963685313,Test,TF-Tanh-hl-1-do-True-ep-800
12612.785542929885,Test,TF-Sigmoid-hl-1-do-False-ep-800
12614.186653338358,Test,TF-Tanh-hl-2-do-False-ep-800
12617.808115046071,Test,TF-Sigmoid-hl-1-do-True-ep-800
12617.956706495028,Test,TF-Tanh-hl-2-do-True-ep-800
12731.638269457777,Test,TF-Sigmoid-hl-2-do-False-ep-800
12769.027699455164,Test,TF-Sigmoid-hl-2-do-True-ep-800
