RMSE,label,Model
3112.7739928864685,Test,TF-Relu-hl-2-do-False-ep-800
3245.627970309833,Test,TF-Relu-hl-2-do-True-ep-800
6043.706741680719,Test,TF-Relu-hl-1-do-True-ep-800
6115.8790296626075,Test,TF-Relu-hl-1-do-False-ep-800
13359.636277098118,Test,TF-Tanh-hl-1-do-False-ep-800
13360.205680242863,Test,TF-Tanh-hl-1-do-True-ep-800
13360.876172823902,Test,TF-Tanh-hl-2-do-False-ep-800
13361.92691331483,Test,TF-Sigmoid-hl-1-do-False-ep-800
13362.135929616625,Test,TF-Tanh-hl-2-do-True-ep-800
13364.42209275487,Test,TF-Sigmoid-hl-1-do-True-ep-800
13372.873301751753,Test,TF-Sigmoid-hl-2-do-False-ep-800
13380.961326344295,Test,TF-Sigmoid-hl-2-do-True-ep-800
