RMSE,label,Model
3099.607039574358,Test,TF-Relu-hl-2-do-False-ep-800
3370.1042843130936,Test,TF-Relu-hl-2-do-True-ep-800
5892.442024887772,Test,TF-Relu-hl-1-do-True-ep-800
6050.317497225246,Test,TF-Relu-hl-1-do-False-ep-800
13317.203525853794,Test,TF-Tanh-hl-1-do-False-ep-800
13319.490195071436,Test,TF-Tanh-hl-1-do-True-ep-800
13320.818445575622,Test,TF-Tanh-hl-2-do-False-ep-800
13320.972403420226,Test,TF-Tanh-hl-2-do-True-ep-800
13322.070004841398,Test,TF-Sigmoid-hl-1-do-False-ep-800
13324.818201699316,Test,TF-Sigmoid-hl-1-do-True-ep-800
13330.916485964803,Test,TF-Sigmoid-hl-2-do-False-ep-800
13337.975833949587,Test,TF-Sigmoid-hl-2-do-True-ep-800
