RMSE,label,Model
2793.4498517935585,Test,TF-Relu-hl-2-do-False-ep-800
3253.657273261558,Test,TF-Relu-hl-2-do-True-ep-800
4426.398697870169,Test,TF-Relu-hl-1-do-False-ep-800
4535.121202361769,Test,TF-Relu-hl-1-do-True-ep-800
12606.131476110342,Test,TF-Tanh-hl-1-do-False-ep-800
12610.27776380159,Test,TF-Tanh-hl-1-do-True-ep-800
12611.785313790322,Test,TF-Sigmoid-hl-1-do-False-ep-800
12614.349417700845,Test,TF-Tanh-hl-2-do-False-ep-800
12617.292462025056,Test,TF-Sigmoid-hl-1-do-True-ep-800
12618.359512213723,Test,TF-Tanh-hl-2-do-True-ep-800
12702.46443078517,Test,TF-Sigmoid-hl-2-do-True-ep-800
12754.500301963044,Test,TF-Sigmoid-hl-2-do-False-ep-800
